"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","31","775","21:08","21:08","2:15","1:02","44","132","155","323","10","201"
"","1.1","Stile libero","1","25","0:30.7","0:30.7","2:03","2:03","40","117","131","9","--","--"
"","1.2","Stile libero","1","25","0:35.3","1:06.0","2:21","2:21","47","138","140","12","--","--"
"","1.3","Stile libero","1","25","0:30.6","1:36.6","2:03","2:03","41","136","138","10","--","--"
"","1.4","Rana","1","25","0:27.6","2:04.2","1:50","1:50","37","137","139","9","--","--"
"","1.5","Stile libero","1","25","0:31.8","2:36.1","2:07","2:07","41","126","136","9","--","--"
"","1.6","Rana","1","25","0:34.4","3:10.5","2:18","2:18","50","120","126","16","--","--"
"","1.7","Rana","1","25","0:38.9","3:49.4","2:36","2:36","55","124","133","16","--","--"
"","1.8","Rana","1","25","0:36.5","4:25.9","2:26","2:26","52","125","135","15","--","--"
"","1.9","Dorso","1","25","0:37","5:02.9","2:28","2:28","51","140","145","14","--","--"
"","1.10","Dorso","1","25","0:35.4","5:38.3","2:22","2:22","46","149","155","11","--","--"
"","1.11","Rana","1","25","0:52.4","6:30.7","3:30","3:30","64","138","155","12","--","--"
"","1.12","Rana","1","25","0:35","7:05.7","2:20","2:20","46","132","134","11","--","--"
"","1.13","Stile libero","1","25","0:32.9","7:38.6","2:12","2:12","44","132","136","11","--","--"
"","1.14","Stile libero","1","25","0:34.4","8:13.1","2:18","2:18","45","127","132","11","--","--"
"","1.15","Stile libero","1","25","0:37.6","8:50.6","2:30","2:30","51","127","129","13","--","--"
"","1.16","Dorso","1","25","0:46.3","9:36.9","3:05","3:05","59","112","125","13","--","--"
"","1.17","Dorso","1","25","0:43.3","10:20","2:53","2:53","57","127","132","14","--","--"
"","1.18","Dorso","1","25","0:21.8","10:42","1:27","1:27","26","134","140","4","--","--"
"","1.19","Stile libero","1","25","0:24.4","11:06","1:37","1:37","33","133","138","9","--","--"
"","1.20","Stile libero","1","25","0:18.7","11:25","1:15","1:15","24","131","136","5","--","--"
"","1.21","Rana","1","25","0:32.6","11:57","2:10","2:10","44","126","132","11","--","--"
"","1.22","Rana","1","25","0:43.2","12:41","2:53","2:53","56","125","131","13","--","--"
"","1.23","Rana","1","25","0:42.2","13:23","2:49","2:49","55","123","124","13","--","--"
"","1.24","Rana","1","25","0:15.6","13:38","1:02","1:02","20","123","125","4","--","--"
"","1.25","Rana","1","25","0:30","14:08","2:00","2:00","40","125","128","10","--","--"
"","1.26","Rana","1","25","0:15.8","14:24","1:03","1:03","21","122","128","5","--","--"
"","1.27","Dorso","1","25","0:21.6","14:46","1:27","1:27","28","134","139","6","--","--"
"","1.28","Rana","1","25","0:41.5","15:27","2:46","2:46","52","124","132","10","--","--"
"","1.29","Rana","1","25","0:48.5","16:16","3:14","3:14","61","141","147","12","--","--"
"","1.30","Rana","1","25","0:44.3","17:00","2:57","2:57","54","134","147","10","--","--"
"","1.31","Rana","1","25","0:24.1","17:24","1:37","1:37","29","148","150","5","--","--"
"","1.32","--","1","--","3:43.9","21:08","--","--","--","143","155","--","--","--"
"","","Riposo","0","0","23:02","44:10","0","0","0","144","158","0","0","241"
"","","Riposo","0","0","0:15.3","44:25","0","0","0","131","136","0","0","2"
"","","Riposo","0","0","0:19.2","44:44","0","0","0","118","126","0","0","1"
"","2","Stile libero","4","100","1:55.1","46:39","1:55","1:51","41","134","152","47","12","15"
"","2.1","Stile libero","1","25","0:27.8","0:27.8","1:51","1:51","39","111","119","11","--","--"
"","2.2","Stile libero","1","25","0:28.1","0:55.8","1:52","1:52","40","134","143","12","--","--"
"","2.3","Stile libero","1","25","0:30.1","1:25.9","2:00","2:00","42","143","147","12","--","--"
"","2.4","Stile libero","1","25","0:29.1","1:55.1","1:57","1:57","41","147","152","12","--","--"
"","","Riposo","0","0","0:35.6","47:15","0","0","0","145","153","0","0","6"
"","","Riposo","0","0","0:04.6","47:20","0","0","0","118","119","0","0","0"
"","Riepilogo","--","35","875","47:20","47:20","2:12","1:02","44","138","158","370","11","466"
