Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
1:59.1,42,49,98,activity_20643588788
1:50.7,40,48,96,activity_20703880312
1:57.2,42,50,100,activity_20703880312
1:56.4,41,48,96,activity_20703880312
1:56.4,41,49,98,activity_20703880312
1:58.6,43,52,104,activity_20703880312
1:59.8,43,52,104,activity_20703880312
1:53.0,41,52,104,activity_20703880312
1:55.6,41,48,96,activity_20896882655
2:03.5,43,49,98,activity_20896882655
1:59.1,42,49,98,activity_20896882655
2:00.1,43,51,102,activity_20896882655
2:03.8,44,52,104,activity_20896882655
1:55.4,42,52,104,activity_20896882655
1:59.7,43,51,102,activity_20896882655
2:03.0,44,55,110,activity_20896882655
1:49.4,39,48,96,activity_20964911769
2:04.0,42,44,88,activity_21093720769
2:03.0,42,46,92,activity_21093720769
2:03.0,43,48,96,activity_21093720769
1:57.3,41,47,94,activity_21093720769
2:02.0,43,49,98,activity_21093720769
1:56.5,41,48,96,activity_21093720769
1:57.4,41,48,96,activity_21093720769
1:55.3,40,46,92,activity_21155856247
1:52.1,40,48,96,activity_21155856247
1:47.4,39,48,96,activity_21155856247
1:54.6,40,47,94,activity_21217798483
1:56.8,41,48,96,activity_21217798483
1:55.1,40,46,92,activity_21217798483
1:47.7,39,48,96,activity_21278726321
1:51.6,39,46,92,activity_21604979588
1:47.7,38,44,88,activity_21604979588
1:48.3,38,43,86,activity_21759007635
1:53.1,40,45,90,activity_21759007635
1:58.4,42,50,100,activity_21759007635
1:56.5,40,44,88,activity_21759007635
2:04.8,43,48,96,activity_21759007635
2:10.9,44,47,94,activity_21759007635
1:53.3,39,44,88,activity_21759007635
1:55.1,41,47,94,activity_21924796837
1:46.6,38,45,90,activity_22055589786
1:54.9,39,41,82,activity_22211718814
2:01.5,42,46,92,activity_22211718814
1:58.0,41,45,90,activity_22211718814
2:02.4,42,47,94,activity_22211718814
2:01.2,42,47,94,activity_22211718814
1:54.0,39,41,82,activity_22313679826
1:58.9,41,44,88,activity_22313679826
1:51.6,38,41,82,activity_22531752745
1:52.9,39,42,84,activity_22531752745
1:55.4,40,43,86,activity_22531752745
1:54.1,39,43,86,activity_22531752745
1:56.9,40,44,88,activity_22531752745
1:53.6,39,42,84,activity_22531752745
1:55.4,40,44,88,activity_22805238416
2:03.8,43,47,94,activity_22805238416
1:56.8,40,43,86,activity_22888699241
1:53.5,39,44,88,activity_22888699241
1:58.3,41,46,92,activity_22888699241
1:57.3,41,46,92,activity_22888699241
1:48.8,37,39,78,activity_23054288152
1:55.8,39,42,84,activity_23054288152
1:56.4,39,41,82,activity_23054288152
1:54.9,39,43,86,activity_23054288152
1:53.1,39,43,86,activity_23054288152
1:55.2,40,44,88,activity_23054288152
1:54.9,40,47,94,activity_23136857346
2:08.8,44,48,96,activity_23136857346
2:01.6,42,47,94,activity_23302772273
1:55.9,40,44,88,activity_23302772273
1:53.6,39,44,88,activity_23302772273
1:51.8,40,49,98,activity_23302772273
1:54.4,41,50,100,activity_23302772273
