Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
1:29.9,50,28,56,activity_21093720769
1:08.9,48,27,54,activity_21155856247
1:10.4,50,29,58,activity_21155856247
1:10.7,49,27,54,activity_21155856247
1:11.2,50,29,58,activity_21155856247
1:25.7,57,29,58,activity_21217798483
1:10.4,48,26,52,activity_21217798483
1:05.2,46,26,52,activity_21217798483
1:23.6,57,31,62,activity_21338113438
1:07.1,46,25,50,activity_21338113438
1:07.3,47,27,54,activity_21338113438
1:04.4,45,26,52,activity_21338113438
1:07.1,47,26,52,activity_21604979588
1:19.0,54,29,58,activity_21604979588
1:20.1,54,27,54,activity_21604979588
1:20.0,55,29,58,activity_21687769191
1:02.9,42,22,44,activity_22591687538
1:03.9,44,25,50,activity_22591687538
1:00.8,42,24,48,activity_22591687538
0:59.3,41,23,46,activity_22591687538
1:00.1,45,30,60,activity_23136857346
1:07,48,28,56,activity_23136857346
