Tempo,Swolf medio,Totale bracciate,Bracciate effettive,activity_id
1:01.2,40,19,38,activity_20623398286
1:02.1,39,15,30,activity_20623398286
0:59.2,37,15,30,activity_20623398286
0:59.0,36,13,26,activity_20643588788
1:03.6,39,14,28,activity_21155856247
1:04.9,42,19,38,activity_21155856247
1:06.0,45,24,48,activity_21338113438
4:54.6,19,9,18,activity_21832163880
0:59.9,39,19,38,activity_21832163880
1:01.4,41,20,40,activity_21832163880
1:01.7,41,21,42,activity_21977885733
0:57.6,43,28,56,activity_21977885733
1:00.8,41,22,44,activity_22211718814
1:00.7,41,21,42,activity_22211718814
0:48.6,31,14,28,activity_22234851951
0:47.8,30,13,26,activity_22234851951
0:51.0,31,11,22,activity_22313679826
0:49.2,32,14,28,activity_22313679826
0:48.6,32,15,30,activity_22313679826
0:47.5,31,14,28,activity_22313679826
1:02.8,41,19,38,activity_22313679826
1:00.4,40,20,40,activity_22313679826
0:58.6,39,19,38,activity_22313679826
0:56.7,38,19,38,activity_22313679826
0:58.7,38,18,36,activity_22531752745
0:58.6,38,18,36,activity_22531752745
0:57.7,38,19,38,activity_22531752745
0:57.4,38,18,36,activity_22531752745
0:53.2,33,13,26,activity_22591687538
0:49.7,31,12,24,activity_22591687538
0:49.8,31,13,26,activity_22591687538
0:49.2,31,12,24,activity_22591687538
0:59.7,40,20,40,activity_22591687538
1:05.3,53,40,80,activity_22591687538
0:52.4,32,12,24,activity_22805238416
1:00.2,39,18,36,activity_22805238416
0:59.4,39,18,36,activity_22805238416
1:01.1,40,19,38,activity_22805238416
0:59.7,39,18,36,activity_22805238416
0:48.0,32,16,32,activity_22805238416
0:46.1,32,17,34,activity_22805238416
0:53.7,33,13,26,activity_22888699241
0:51.8,33,14,28,activity_22888699241
0:50.7,31,12,24,activity_22888699241
1:01.7,40,19,38,activity_22888699241
1:02.1,41,20,40,activity_22888699241
1:03.6,41,19,38,activity_22888699241
0:59.9,40,21,42,activity_22888699241
0:57.1,37,17,34,activity_23054288152
0:57.6,38,18,36,activity_23054288152
0:56.3,37,18,36,activity_23054288152
1:02.7,50,37,74,activity_23136857346
1:06.2,54,41,82,activity_23136857346
0:43.5,29,14,28,activity_23136857346
1:01.4,41,21,42,activity_23302772273
0:57.6,37,16,32,activity_23302772273
0:48.7,34,19,38,activity_23302772273
1:12.4,54,36,72,activity_23302772273
