Ripetute,Stile,Vasche,Distanza,Tempo,Tempo cumulato,Passo medio,Passo migliore,Swolf medio,FC Media,FC max,Totale bracciate,Bracciate medie,Calorie,activity_id
1,Misto,30,750,22:00,22:00,2:35,1:40,51,133,159,363,12,206,activity_20584599774
1.1,Stile libero,1,25,0:34.4,0:34.4,2:18,2:18,45,105,124,11,--,--,activity_20584599774
1.2,Stile libero,1,25,0:31.7,1:06.1,2:07,2:07,42,125,137,10,--,--,activity_20584599774
1.3,Stile libero,1,25,0:38.1,1:44.2,2:32,2:32,50,142,143,12,--,--,activity_20584599774
1.4,Rana,1,25,0:26.8,2:10.9,1:47,1:47,35,133,139,8,--,--,activity_20584599774
1.5,Rana,1,25,0:38.3,2:49.2,2:33,2:33,56,134,141,18,--,--,activity_20584599774
1.6,Rana,1,25,0:36.3,3:25.4,2:25,2:25,54,141,144,18,--,--,activity_20584599774
1.7,Rana,1,25,0:46.7,4:12.1,3:07,3:07,68,141,145,21,--,--,activity_20584599774
1.8,Rana,1,25,0:42.2,4:54.3,2:49,2:49,62,143,145,20,--,--,activity_20584599774
1.9,Dorso,1,25,0:37.8,5:32.1,2:31,2:31,52,142,146,14,--,--,activity_20584599774
1.10,Dorso,1,25,0:39.9,6:11.9,2:39,2:39,56,130,132,16,--,--,activity_20584599774
1.11,Rana,1,25,0:39.9,6:51.9,2:40,2:40,55,121,128,15,--,--,activity_20584599774
1.12,Dorso,1,25,0:54.1,7:46.0,3:36,3:36,72,149,159,18,--,--,activity_20584599774
1.13,Stile libero,1,25,0:31.9,8:17.9,2:08,2:08,43,149,153,11,--,--,activity_20584599774
1.14,Stile libero,1,25,0:50.4,9:08.3,3:22,3:22,63,137,141,13,--,--,activity_20584599774
1.15,Stile libero,1,25,0:37.8,9:46.1,2:31,2:31,50,140,144,12,--,--,activity_20584599774
1.16,Stile libero,1,25,0:28.6,10:15,1:54,1:54,39,143,148,10,--,--,activity_20584599774
1.17,Rana,1,25,0:40.6,10:55,2:43,2:43,52,131,142,11,--,--,activity_20584599774
1.18,Rana,1,25,0:27.5,11:23,1:50,1:50,34,126,133,6,--,--,activity_20584599774
1.19,Dorso,1,25,0:24.9,11:48,1:40,1:40,31,131,137,6,--,--,activity_20584599774
1.20,Rana,1,25,0:26.6,12:14,1:46,1:46,33,132,136,6,--,--,activity_20584599774
1.21,Rana,1,25,0:34.8,12:49,2:19,2:19,44,124,130,9,--,--,activity_20584599774
1.22,Rana,1,25,0:59.2,13:48,3:57,3:57,72,129,132,13,--,--,activity_20584599774
1.23,Rana,1,25,0:36.8,14:25,2:27,2:27,45,126,129,8,--,--,activity_20584599774
1.24,Rana,1,25,0:59.5,15:25,3:58,3:58,74,130,135,14,--,--,activity_20584599774
1.25,Rana,1,25,0:26.6,15:51,1:46,1:46,35,131,135,8,--,--,activity_20584599774
1.26,Stile libero,1,25,0:29.6,16:21,1:58,1:58,37,137,144,7,--,--,activity_20584599774
1.27,Rana,1,25,0:34.7,16:55,2:19,2:19,45,123,127,10,--,--,activity_20584599774
1.28,Rana,1,25,0:41.4,17:37,2:46,2:46,52,134,137,11,--,--,activity_20584599774
1.29,Rana,1,25,0:47.3,18:24,3:09,3:09,58,129,135,11,--,--,activity_20584599774
1.30,Rana,1,25,1:01.3,19:25,4:05,4:05,77,131,139,16,--,--,activity_20584599774
1.31,--,1,--,2:34.9,22:00,--,--,--,130,144,--,--,--,activity_20584599774
,Riposo,0,0,1:20.0,23:20,0,0,0,116,132,0,0,7,activity_20584599774
2,Stile libero,40,"1,000",21:19,44:39,2:08,1:41,44,152,166,498,13,253,activity_20584599774
2.1,Stile libero,1,25,0:37.9,0:37.9,2:32,2:32,51,126,139,13,--,--,activity_20584599774
2.2,Stile libero,1,25,0:26,1:03.9,1:44,1:44,35,148,152,9,--,--,activity_20584599774
2.3,Stile libero,1,25,0:30.4,1:34.3,2:02,2:02,41,154,159,11,--,--,activity_20584599774
2.4,Stile libero,1,25,0:29.8,2:04.1,1:59,1:59,41,162,164,11,--,--,activity_20584599774
2.5,Stile libero,1,25,0:29.5,2:33.6,1:58,1:58,42,156,161,12,--,--,activity_20584599774
2.6,Stile libero,1,25,0:33.9,3:07.6,2:16,2:16,47,153,156,13,--,--,activity_20584599774
2.7,Stile libero,1,25,0:25.3,3:32.8,1:41,1:41,35,149,151,10,--,--,activity_20584599774
2.8,Stile libero,1,25,0:34.8,4:07.6,2:19,2:19,47,153,158,12,--,--,activity_20584599774
2.9,Stile libero,1,25,0:28.9,4:36.4,1:55,1:55,41,155,157,12,--,--,activity_20584599774
2.10,Stile libero,1,25,0:33.3,5:09.7,2:13,2:13,46,150,152,13,--,--,activity_20584599774
2.11,Stile libero,1,25,0:32.8,5:42.4,2:11,2:11,46,149,151,13,--,--,activity_20584599774
2.12,Stile libero,1,25,0:31.8,6:14.2,2:07,2:07,45,150,152,13,--,--,activity_20584599774
