"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","16","400","9:27.3","9:27.3","2:08","0:48","43","120","143","176","11","79"
"","1.1","Stile libero","1","25","0:34.3","0:34.3","2:17","2:17","44","80","106","10","--","--"
"","1.2","Stile libero","1","25","0:32.6","1:06.8","2:10","2:10","45","110","113","12","--","--"
"","1.3","Stile libero","1","25","0:29.6","1:36.4","1:58","1:58","39","117","119","9","--","--"
"","1.4","Rana","1","25","0:34.8","2:11.2","2:19","2:19","47","122","126","12","--","--"
"","1.5","Stile libero","1","25","0:30.3","2:41.4","2:01","2:01","39","123","126","9","--","--"
"","1.6","Stile libero","1","25","0:33.8","3:15.2","2:15","2:15","45","125","128","11","--","--"
"","1.7","Rana","1","25","0:34.8","3:50.0","2:19","2:19","47","121","125","12","--","--"
"","1.8","Stile libero","1","25","0:34.6","4:24.6","2:19","2:19","46","118","121","11","--","--"
"","1.9","Stile libero","1","25","0:35.9","5:00.6","2:24","2:24","48","118","122","12","--","--"
"","1.10","Rana","1","25","0:39","5:39.6","2:36","2:36","56","119","122","17","--","--"
"","1.11","Rana","1","25","0:40.8","6:20.3","2:43","2:43","59","119","120","18","--","--"
"","1.12","Rana","1","25","0:20.4","6:40.7","1:22","1:22","24","114","120","4","--","--"
"","1.13","Dorso","1","25","0:32.6","7:13.3","2:10","2:10","44","125","133","11","--","--"
"","1.14","Dorso","1","25","0:33.3","7:46.6","2:13","2:13","45","135","141","12","--","--"
"","1.15","Rana","1","25","0:11.9","7:58.5","0:48","0:48","16","141","142","4","--","--"
"","1.16","Dorso","1","25","0:33.4","8:31.9","2:14","2:14","45","138","143","12","--","--"
"","1.17","--","1","--","0:55.3","9:27.3","--","--","--","125","143","--","--","--"
"","","Riposo","0","0","0:03.1","9:30.4","0","0","0","113","114","0","0","0"
"","2","Rana","2","50","4:54.6","14:25","1:00","0:41","19","132","148","9","5","47"
"","2.1","Rana","1","25","0:19.7","0:19.7","1:19","1:19","24","114","120","4","--","--"
"","2.2","Rana","1","25","0:10.2","0:29.9","0:41","0:41","15","123","124","5","--","--"
"","2.3","--","1","--","4:24.7","4:54.6","--","--","--","134","148","--","--","--"
"","","Riposo","0","0","0:29.1","14:54","0","0","0","121","132","0","0","4"
"","3","Misto","2","50","1:24.8","16:19","2:49","2:30","54","119","138","23","12","9"
"","3.1","Rana","1","25","0:37.5","0:37.5","2:30","2:30","46","109","121","8","--","--"
"","3.2","Stile libero","1","25","0:47.3","1:24.8","3:09","3:09","62","127","138","15","--","--"
"","","Riposo","0","0","0:08.3","16:27","0","0","0","127","128","0","0","1"
"","4","Rana","2","50","0:59.9","17:27","2:00","1:57","39","127","135","19","10","8"
"","4.1","Rana","1","25","0:30.6","0:30.6","2:02","2:02","41","123","125","10","--","--"
"","4.2","Rana","1","25","0:29.4","0:59.9","1:57","1:57","38","130","135","9","--","--"
"","","Riposo","0","0","0:18.6","17:46","0","0","0","132","135","0","0","3"
"","5","Stile libero","2","50","1:00.1","18:46","2:00","2:00","39","136","147","18","9","10"
"","5.1","Stile libero","1","25","0:30.1","0:30.1","2:00","2:00","39","130","146","9","--","--"
"","5.2","Stile libero","1","25","0:30.1","1:00.1","2:00","2:00","39","141","147","9","--","--"
"","","Riposo","0","0","0:17.2","19:03","0","0","0","138","140","0","0","3"
"","6","Stile libero","2","50","1:00.2","20:03","2:00","2:00","40","134","140","20","10","9"
"","6.1","Stile libero","1","25","0:30.3","0:30.3","2:01","2:01","40","132","133","10","--","--"
"","6.2","Stile libero","1","25","0:29.9","1:00.2","2:00","2:00","40","136","140","10","--","--"
"","","Riposo","0","0","0:17.1","20:20","0","0","0","137","141","0","0","3"
"","7","Rana","2","50","1:01.4","21:22","2:03","2:02","41","131","139","20","10","9"
"","7.1","Rana","1","25","0:30.9","0:30.9","2:03","2:03","41","128","132","10","--","--"
"","7.2","Rana","1","25","0:30.5","1:01.4","2:02","2:02","40","134","138","10","--","--"
"","","Riposo","0","0","1:24.1","22:46","0","0","0","123","140","0","0","10"
"","8","Misto","40","1,000","21:06","43:52","2:06","0:52","43","140","159","452","11","206"
"","8.1","Stile libero","1","25","0:31.6","0:31.6","2:06","2:06","42","119","132","10","--","--"
"","8.2","Stile libero","1","25","0:30.6","1:02.2","2:02","2:02","41","135","149","10","--","--"
"","8.3","Stile libero","1","25","0:28.3","1:30.5","1:53","1:53","40","155","159","12","--","--"
"","8.4","Stile libero","1","25","0:30.6","2:01.1","2:03","2:03","44","150","155","13","--","--"
"","8.5","Rana","1","25","0:40.9","2:42.1","2:44","2:44","58","148","149","17","--","--"
"","8.6","Rana","1","25","0:13.1","2:55.1","0:52","0:52","17","143","148","4","--","--"
